,messagenumber,typeOfLevel,level,parameterName,nameOfFirstFixedSurface,nameOfSecondFixedSurface,shortNameECMF,shortName,nameECMF,name,cfNameECMF,cfName,cfVarNameECMF,cfVarName
1054,1055,surface,0,Water equivalent of accumulated snow depth,Ground or water surface,Missing,sdwe,sdwe,Water equivalent of accumulated snow depth (deprecated),Water equivalent of accumulated snow depth (deprecated),unknown,unknown,sdwe,sdwe
1055,1056,surface,0,227,Ground or water surface,Missing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1056,1057,surface,0,225,Ground or water surface,Missing,unknown,frzr,unknown,Freezing Rain,unknown,unknown,unknown,unknown
1057,1058,surface,0,Storm surface runoff,Ground or water surface,Missing,ssrun,ssrun,Storm surface runoff,Storm surface runoff,unknown,unknown,ssrun,ssrun
1058,1059,surface,0,Baseflow-groundwater runoff,Ground or water surface,Missing,bgrun,bgrun,Baseflow-groundwater runoff,Baseflow-groundwater runoff,unknown,unknown,bgrun,bgrun
1059,1060,surface,0,Categorical snow,Ground or water surface,Missing,csnow,csnow,Categorical snow,Categorical snow,unknown,unknown,csnow,csnow
1060,1061,surface,0,Categorical ice pellets,Ground or water surface,Missing,cicep,cicep,Categorical ice pellets,Categorical ice pellets,unknown,unknown,cicep,cicep
1061,1062,surface,0,Categorical freezing rain,Ground or water surface,Missing,cfrzr,cfrzr,Categorical freezing rain,Categorical freezing rain,unknown,unknown,cfrzr,cfrzr
1062,1063,surface,0,Categorical rain,Ground or water surface,Missing,crain,crain,Categorical rain,Categorical rain,unknown,unknown,crain,crain
1063,1064,surface,0,Surface roughness,Ground or water surface,Missing,sr,sr,Surface roughness,Surface roughness,surface_roughness_length,surface_roughness_length,sr,sr
1064,1065,surface,0,Frictional velocity,Ground or water surface,Missing,fricv,fricv,Frictional velocity,Frictional velocity,unknown,unknown,fricv,fricv
1065,1066,surface,0,Sensible heat net flux,Ground or water surface,Missing,shtfl,shtfl,Sensible heat net flux,Sensible heat net flux,unknown,unknown,shtfl,shtfl
1066,1067,surface,0,Latent heat net flux,Ground or water surface,Missing,lhtfl,lhtfl,Latent heat net flux,Latent heat net flux,unknown,unknown,lhtfl,lhtfl
1067,1068,surface,0,Ground heat flux,Ground or water surface,Missing,gflux,gflux,Ground heat flux,Ground heat flux,unknown,unknown,gflux,gflux
1068,1069,surface,0,198,Ground or water surface,Missing,gppbfas,vgtyp,GPP coefficient from Biogenic Flux Adjustment System,Vegetation Type,unknown,unknown,gppbfas,gppbfas
1069,1070,isobaricLayer,500,Surface lifted index,Isobaric surface,Isobaric surface,lftx,lftx,Surface lifted index,Surface lifted index,unknown,unknown,lftx,lftx
1070,1071,surface,0,Convective available potential energy,Ground or water surface,Missing,unknown,cape,unknown,Convective available potential energy,unknown,unknown,unknown,unknown
1071,1072,surface,0,Convective inhibition,Ground or water surface,Missing,unknown,cin,unknown,Convective inhibition,unknown,unknown,unknown,unknown
1072,1073,atmosphereSingleLayer,0,Precipitable water,Entire atmosphere,Missing,pwat,pwat,Precipitable water,Precipitable water,unknown,unknown,pwat,pwat
1073,1074,atmosphereSingleLayer,0,102,Entire atmosphere,Missing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1074,1075,atmosphereSingleLayer,0,Total column,Entire atmosphere,Missing,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1075,1076,lowCloudLayer,0,Low cloud cover,Low cloud layer,Missing,lcc,lcc,Low cloud cover,Low cloud cover,unknown,unknown,lcc,lcc
1076,1077,middleCloudLayer,0,Medium cloud cover,Middle cloud layer,Missing,mcc,mcc,Medium cloud cover,Medium cloud cover,unknown,unknown,mcc,mcc
1077,1078,highCloudLayer,0,High cloud cover,High cloud layer,Missing,hcc,hcc,High cloud cover,High cloud cover,unknown,unknown,hcc,hcc
